Tahun;Jenis_Pajak;Target;Realisasi;Persentase;Tingkat_Kepatuhan
2018;Retribusi Penjualan Produksi Usaha Daerah;106000000;109869500;104;Sangat Patuh
2019;Retribusi Penjualan Produksi Usaha Daerah;200000000;151265000;76;Tidak Patuh
2020;Retribusi Penjualan Produksi Usaha Daerah;150000000;151488500;101;Sangat Patuh
2021;Retribusi Penjualan Produksi Usaha Daerah;108469000;108469000;100;Sangat Patuh
2022;Retribusi Penjualan Produksi Usaha Daerah;330000000;221424650;67;Tidak Patuh
2023;Retribusi Penjualan Produksi Usaha Daerah;320000000;186980500;58;Tidak Patuh
2024;Retribusi Penjualan Produksi Usaha Daerah;320000000;264726550;83;Cukup Patuh
2016;Retribusi izin Mendirikan Bangunan;3746050000;3969555809;106;Sangat Patuh
2017;Retribusi izin Mendirikan Bangunan;3270050000;3523431699;108;Sangat Patuh
2018;Retribusi izin Mendirikan Bangunan;3802100000;4114044224;108;Sangat Patuh
2019;Retribusi izin Mendirikan Bangunan;3800000000;4756638196;125;Sangat Patuh
2020;Retribusi izin Mendirikan Bangunan;4750000000;5868728400;124;Sangat Patuh
2021;Retribusi izin Mendirikan Bangunan;4158600800;4158600800;100;Sangat Patuh
2022;Retribusi izin Mendirikan Bangunan;6830000000;6840041723;100;Sangat Patuh
2023;Retribusi izin Mendirikan Bangunan;6500000000;5837382786;90;Cukup Patuh
2024;Retribusi izin Mendirikan Bangunan;6830000000;6840041723;100;Sangat Patuh
2016;Retribusi Izin Tempat Penjualan Minuman Beralkohol;25000000;34500000;138;Sangat Patuh
2017;Retribusi Izin Tempat Penjualan Minuman Beralkohol;5000000;5000000;100;Sangat Patuh
2018;Retribusi Izin Tempat Penjualan Minuman Beralkohol;15000000;34500000;230;Sangat Patuh
2019;Retribusi Izin Tempat Penjualan Minuman Beralkohol;20000000;36000000;180;Sangat Patuh
2020;Retribusi Izin Tempat Penjualan Minuman Beralkohol;5000000;10000000;200;Sangat Patuh
2021;Retribusi Izin Tempat Penjualan Minuman Beralkohol;19500000;19500000;100;Sangat Patuh
2022;Retribusi Izin Tempat Penjualan Minuman Beralkohol;27500000;48500000;176;Sangat Patuh
2023;Retribusi Izin Tempat Penjualan Minuman Beralkohol;5000000;15000000;300;Sangat Patuh
2024;Retribusi Izin Tempat Penjualan Minuman Beralkohol;12080000;13255000;110;Sangat Patuh
2016;Retribusi Perpanjangan Izin Mempekerjakan Tenaga Asing (IMTA);40000000;79408800;199;Sangat Patuh
2017;Retribusi Perpanjangan Izin Mempekerjakan Tenaga Asing (IMTA);120000000;61600800;51;Tidak Patuh
2018;Retribusi Perpanjangan Izin Mempekerjakan Tenaga Asing (IMTA);48600000;130437000;268;Sangat Patuh
2019;Retribusi Perpanjangan Izin Mempekerjakan Tenaga Asing (IMTA);80000000;93104400;116;Sangat Patuh
2020;Retribusi Perpanjangan Izin Mempekerjakan Tenaga Asing (IMTA);71000000;160471200;226;Sangat Patuh
2021;Retribusi Perpanjangan Izin Mempekerjakan Tenaga Asing (IMTA);85838400;85838400;100;Sangat Patuh
2022;Retribusi Perpanjangan Izin Mempekerjakan Tenaga Asing (IMTA);27500000;18240000;66;Tidak Patuh
2023;Retribusi Perpanjangan Izin Mempekerjakan Tenaga Asing (IMTA);90000000;71668800;80;Tidak Patuh
2024;Retribusi Perpanjangan Izin Mempekerjakan Tenaga Asing (IMTA);18240000;90000000;493;Sangat Patuh
2016;Retribusi Izin Trayek untuk menyediakan Pelayanan Angkutan Umum;100000000;126825000;127;Sangat Patuh
2017;Retribusi Izin Trayek untuk menyediakan Pelayanan Angkutan Umum;10000000;13200000;132;Sangat Patuh
2018;Retribusi Izin Trayek untuk menyediakan Pelayanan Angkutan Umum;10000000;8450000;85;Cukup Patuh
2019;Retribusi Izin Trayek untuk menyediakan Pelayanan Angkutan Umum;3250000;3500000;108;Sangat Patuh
2020;Retribusi Izin Trayek untuk menyediakan Pelayanan Angkutan Umum;67500000;28700000;43;Tidak Patuh
2021;Retribusi Izin Trayek untuk menyediakan Pelayanan Angkutan Umum;65025000;65025000;100;Sangat Patuh
2022;Retribusi Izin Trayek untuk menyediakan Pelayanan Angkutan Umum;35000000;49575000;142;Sangat Patuh
2023;Retribusi Izin Trayek untuk menyediakan Pelayanan Angkutan Umum;8000000;8825000;110;Sangat Patuh
2024;Retribusi Izin Trayek untuk menyediakan Pelayanan Angkutan Umum;20080000;18006700;90;Cukup Patuh
